firstName,lastName,schoolName,imageUrl,playerUrl
Nino,Betances,Villanova University,https://d3r15i91mdrm4u.cloudfront.net/images/2025/7/23/Betances__Nino_pIm4q.jpg?width=300,https://villanova.com/sports/football/roster/nino-betances/15240
Gabriel,Souza,Western Connecticut State University,https://westconnathletics.com/images/2025/8/29/Gabriel_Souza.jpg?width=300,https://westconnathletics.com/sports/mens-soccer/roster/gabriel-souza/6475
Kylee,Payne,College of Saint Rose,https://gogoldenknights.com/images/2024/2/6/Payne_Kylee.png?width=146,https://gogoldenknights.com/sports/womens-lacrosse/roster/kylee-payne/10465
Dylan,White,University of Puget Sound,https://loggerathletics.com/images/2025/9/10/202508253877_ATH_FB_Dylan_White__28_by_Alex_Crook-1.jpg?width=300,https://loggerathletics.com/sports/football/roster/dylan-white/10677
Daniel,Atsou,Lycoming College,https://lycomingathletics.com/images/2025/9/2/2025_fb_headshots_edited_atsou_200_9682.jpg?width=300,https://lycomingathletics.com/sports/football/roster/daniel-atsou/23605
Ernesto,Garza,Cleary University,https://clearycougars.com/sports/mwrest/2025-26/bios/IMG_2606_headshot.jpg?max_width=510&max_height=600,https://clearycougars.com/sports/mwrest/2025-26/bios/garza_ernesto_x0kw
Easton,Sheppeard,Arizona Western College,https://awcmatadors.com/sports/mbkb/2025-26/bios/072A9329_headshot.jpg?max_width=510&max_height=600,https://awcmatadors.com/sports/mbkb/2025-26/bios/sheppeard_easton_6cw1
Mason,Ellis,Salisbury University,https://suseagulls.com/images/2025/8/29/MasonEllis_4895-S.jpg?width=300,https://suseagulls.com/sports/mens-golf/roster/mason-ellis/11086
Taylor,Jenkins,Niagara University,https://purpleeagles.com/images/2025/8/21/Headshot_Template_0010_JP200071_JPbsr.jpg?width=300,https://purpleeagles.com/sports/womens-volleyball/roster/taylor-jenkins/9087
Jordan,Booth,Saint Mary-of-the-Woods College,https://smwcathletics.com/images/2025/8/21/Headshots_DSC00738_3fdou.jpg?width=300,https://smwcathletics.com/sports/golf/roster/jordan-booth/3325
Melina,Schrader,University of Dayton,https://daytonflyers.com/images/2025/8/14/4_Melina_Schrader_qhTHA.JPG?width=300,https://daytonflyers.com/sports/womens-volleyball/roster/melina-schrader/15394
Ty,Beck,The Master's University,https://gomustangs.com/images/2025/1/29/Ty_Beck.jpg?width=300,https://gomustangs.com/sports/baseball/roster/ty-beck/2612
Shadrach,Nvodjo,Winthrop University,https://winthropeagles.com/images/2025/12/30/25-26_T_F_headshots_12.jpg?width=300,https://winthropeagles.com/sports/mens-track-and-field/roster/shadrach-nvodjo/7971
Isaiah,Harrison,The College of New Jersey,https://d2o5a1s25yqobm.cloudfront.net/images/2025/8/27/Harrison_0SnJs.jpg?width=300,https://tcnjathletics.com/sports/football/roster/isaiah-harrison/14226
Lylian,Iman,University of Indianapolis,https://athletics.uindy.edu/images/2025/11/7/Iman__Lylian.jpg?width=146,https://athletics.uindy.edu/sports/womens-lacrosse/roster/lylian-iman/15567
Elle,Patterson,Indiana University-Purdue University Indianapolis,https://iuindyjags.com/images/2025/7/24/Patterson__Elle.jpg?width=300,https://iuindyjags.com/sports/womens-volleyball/roster/elle-patterson/8450
Azel,Lunsford,Capital University,https://athletics.capital.edu/images/2025/8/25/CroppedWeb_FB_2025_Lunsford_Azel_hs_2025.jpg?width=300,https://athletics.capital.edu/sports/football/roster/azel-lunsford/7837
Ty,Kauserud,Furman University,https://furmanpaladins.com/images/2025/8/6/KauserudT2025.jpg?width=300,https://furmanpaladins.com/sports/football/roster/ty-kauserud/7764
Nathaniel,Thompson,Reedley College,https://rctigers.com/sports/fball/2025-26/photos/Thompson_Nate_web.jpg?max_width=600&max_height=800,https://rctigers.com/sports/fball/2025-26/bios/thompson_nathaniel_wop0
Shauna,Gamble,Robert Morris University,https://rmucolonials.com/images/2025/8/6/20Gamble.png?width=146,https://rmucolonials.com/sports/womens-soccer/roster/shauna-gamble/10180
Addison,Papagolos,Central Connecticut State University,https://ccsubluedevils.com/sports/wlax/2024-25/photos/0001/Papagolos_Addison_DS9_7878_copy.jpg?max_width=510&max_height=600,https://ccsubluedevils.com/sports/wlax/2024-25/bios/papagolos_addison_723f
Harold,Fernandez,Eastern Connecticut State University,https://gowarriorathletics.com/images/2025/12/11/fernandez-head26-300dpi_5790.jpg?width=146,https://gowarriorathletics.com/sports/baseball/roster/harold-fernandez/6058
Thalia,Benoit,State University of New York at Albany,https://ualbanysports.com/images/2025/9/24/Benoit_Thalia_25-26.JPG?width=300,https://ualbanysports.com/sports/womens-track-and-field/roster/thalia-benoit/11291
Gracie,Rellin,Centenary College (Louisiana),https://www.gocentenary.com/sports/wsoc/2025-26/bios/2025_Gracie_Rellin_IMG_9393.jpg?max_width=510&max_height=600,https://www.gocentenary.com/sports/wsoc/2025-26/bios/rellin_gracie_eica
Gustavo,Bravo,Bryant University,https://bryantbulldogs.com/images/2025/8/26/Bravo_8734_-_Cropped.png?width=300,https://bryantbulldogs.com/sports/football/roster/gustavo-bravo/18243
Jacob,McGhee,Lincoln University (Missouri),https://d2ql8rvuol0tgx.cloudfront.net/images/2025/9/11/McGhee__Jacob.jpg?width=300,https://lubluetigers.com/sports/football/roster/jacob-mcghee/4253
Dontarris,Wesby,Cleary University,https://clearycougars.com/sports/mwrest/2025-26/bios/IMG_2593_headshot.jpg?max_width=510&max_height=600,https://clearycougars.com/sports/mwrest/2025-26/bios/wesby_dontarris_zpc9
Jared,Moore,Arkansas State University,https://astateredwolves.com/images/2025/9/30/Jared_Moore_JZHfe.jpg?width=300,https://astateredwolves.com/sports/track-and-field/roster/jared-moore/7874
Anthony,Guglielmo,Florida Southern College,https://fscmocs.com/images/2025/1/22/Guglielmo_Anthony_XuoQR.png?width=300,https://fscmocs.com/sports/mens-lacrosse/roster/anthony-guglielmo/7194
Emily,Jones,University of Wisconsin-Green Bay,https://greenbayphoenix.com/images/2025/9/5/Emily_Jones.JPG?width=100,https://greenbayphoenix.com/sports/softball/roster/emily-jones/5067
Kantrel,Smith,University of the Cumberlands,https://cumberlandspatriots.com/images/2025/8/28/Smith__Kantrel.jpg?width=146,https://cumberlandspatriots.com/sports/football/roster/kantrel-smith/20311
Evan,Atkin,"University of Colorado, Colorado Springs",https://gomountainlions.com/images/2025/11/3/Evan_Atkin.jpg?width=300,https://gomountainlions.com/sports/mens-track-and-field/roster/evan-atkin/7367
Jason,Barket,Morehead State University,https://msueagles.com/images/2025/8/5/Barket_Jason.jpg?width=300,https://msueagles.com/sports/football/roster/jason-barket/8593
Jeremy,Giesegh,"California State University, San Bernardino",https://csusbathletics.com/images/2024/1/2/Coyote.jpg?width=300,https://csusbathletics.com/sports/baseball/roster/jeremy-giesegh/4727
