firstName,lastName,schoolId,clubId,sport,campaign,imageUrl1,videoUrl1,thumbnailUrl1,instagramPermalink1,mediaType1,imageUrl2,videoUrl2,thumbnailUrl2,instagramPermalink2,mediaType2,imageUrl3,videoUrl3,thumbnailUrl3,instagramPermalink3,mediaType3
Kyle,Durham,6494c953e689be73b73cc47f,64de4b79f2934e6039bfd243,Men's Soccer,Complete Partnership,,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/6940ab2db1b5bacae82de3d8/1766374871991-9h6ptxi19b.mp4,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/6940ab2db1b5bacae82de3d8/1766374871993-p96r1nyk4lo.jpg,https://www.instagram.com/reel/DSdq6NMAV_c/,ig_reel,,,,,,,,,,
Elo,Okpah,6494c950e689be73b73cc464,646393c8e2103372e743e2d6,Women's Track and Field,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767740757685-k6r22it2r.jpg,,,https://www.instagram.com/stories/lightspeed569/3804389742008490422,ig_story,,,,,,,,,,
Audrey,Abel,6494c8e1e689be73b73cc06e,64de4a01f2934e6039bf3128,Women's Soccer,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767987722535-1imefc60w1e.jpg,,,https://www.instagram.com/stories/audrey.abel7/3806476873036194603,ig_story,,,,,,,,,,
Justin,Gutierrez,6494c920e689be73b73cc2b5,693c4e355c694880838001dd,Cricket,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767842008475-jalrxkb5cgl.jpg,,,https://www.instagram.com/stories/jusjustinpt2/3805254284791810924,ig_story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767890873735-62te54oatoa.jpg,,,https://www.instagram.com/stories/jusjustinpt2/3805664477581480822,ig_story,,,,,
Tramiya,Batts,64dbac034c76cde499cefede,64de4c47f2934e6039c01d23,Women's Basketball,Complete Partnership,,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/6940ab2db1b5bacae82de3d8/1766012740988-4gd9wo11n4w.mp4,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/6940ab2db1b5bacae82de3d8/1766012740989-qebypfkbrqq.jpg,https://www.instagram.com/reel/DSV74GND69Z/,ig_reel,,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/6940ab2db1b5bacae82de3d8/1766012741454-4k94xsatey2.mp4,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/6940ab2db1b5bacae82de3d8/1766012741454-7w6gv018y0h.jpg,https://www.instagram.com/stories/itzz_miyaaaa/3789208002055188062,ig_story,,,,,
Dequan,Thompson,6494c969e689be73b73cc549,6488e1a5f4e4c09d5efc1c90,Men's Track and Field,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767654337569-cskj1fcmo06.jpg,,,https://www.instagram.com/stories/quan2ravv/3803679734114903931,ig_story,,,,,,,,,,
Julian,Bush,6494c955e689be73b73cc491,649c8dfac7eef36108fc22f1,Football,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767638090612-md3w8xf9vbe.jpg,,,https://www.instagram.com/stories/jujuthawall/3803543548633964028,ig_story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767649819839-igkkol1w4h8.jpg,,,https://www.instagram.com/stories/jujuthawall/3803641587428098386,ig_story,,,,,
Spencer,Cox,6494c90ce689be73b73cc1fe,64de4a2af2934e6039bf445d,Baseball,IG Story,,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767738935314-nhjmj79p1up.mp4,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767738935314-bsp2tvmck8o.jpg,https://www.instagram.com/stories/spencer._cox2/3804389791895558638,ig_story,,,,,,,,,,
Michael,Barretto,6494c90ce689be73b73cc200,64de4a44f2934e6039bf4ef1,Men's Wrestling,IG Story,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767760802248-yayvrtw1yj9.jpg,,,https://www.instagram.com/stories/mike_s_b15/3804573245694148471,ig_story,,,,,,,,,,
Nolan,Litkowiec,6494c904e689be73b73cc1b5,64de49b2f2934e6039bf0cf6,Baseball,IG Story,,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767820748808-c65usmsbcpi.mp4,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767820748809-lhhp5hrpwu.jpg,https://www.instagram.com/stories/nolan.lit/3805076072992709730,ig_story,,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767930318606-si1g3b97cv.mp4,https://production-nilclub-infra-sto-uploadsbucketc4b27cc7-gju0hr4jkzsi.s3.us-east-1.amazonaws.com/brands/68f27f88dec9a4d884d3cc4c/brand-deals/694830dca630d563ba4c77c1/1767930318607-odxlesvx8yo.jpg,https://www.instagram.com/stories/nolan.lit/3805860707984889383,ig_story,,,,,
