firstName,lastName,schoolId,schoolName,sport,imageUrl,hasImage
Brock,Montgomery,6494c90ce689be73b73cc1f9,,,,NOT FOUND
Nino,Betances,6494c95de689be73b73cc4df,Villanova University,Football,https://d3r15i91mdrm4u.cloudfront.net/images/2025/7/23/Betances__Nino_pIm4q.jpg?width=300,YES
Gabriel,Souza,6494c964e689be73b73cc51a,Western Connecticut State University,Men's Soccer,https://westconnathletics.com/images/2025/8/29/Gabriel_Souza.jpg?width=300,YES
Kylee,Payne,6494c93ee689be73b73cc3c7,College of Saint Rose,Women's Lacrosse,https://gogoldenknights.com/images/2024/2/6/Payne_Kylee.png?width=146,YES
Anton Gabriel,Alarcon,6494c8c4e689be73b73cbf66,,,,NOT FOUND
Micah,Blair,6494c945e689be73b73cc402,,,,NOT FOUND
Tyler,Slone,6494c92de689be73b73cc32c,Slippery Rock University of Pennsylvania,Baseball,,NO
Jalen,Mccray,6494c8c1e689be73b73cbf4c,,,,NOT FOUND
Dylan,White,6494c954e689be73b73cc488,University of Puget Sound,Football,https://loggerathletics.com/images/2025/9/10/202508253877_ATH_FB_Dylan_White__28_by_Alex_Crook-1.jpg?width=300,YES
Majesty,Lewis,6494c8c9e689be73b73cbf96,Concordia University Chicago,Women’s Acrobatics and Tumbling,,NO
Daniel,Atsou,6494c8fbe689be73b73cc164,Lycoming College,Football,https://lycomingathletics.com/images/2025/9/2/2025_fb_headshots_edited_atsou_200_9682.jpg?width=300,YES
Ariel,Guzman,6657990d775768c79728cd9e,,,,NOT FOUND
Ernesto,Garza,6494c8c5e689be73b73cbf6a,Cleary University,Men's Wrestling,https://clearycougars.com/sports/mwrest/2025-26/bios/IMG_2606_headshot.jpg?max_width=510&max_height=600,YES
Easton,Sheppeard,6494c8ade689be73b73cbe92,Arizona Western College,Men's Basketball,https://awcmatadors.com/sports/mbkb/2025-26/bios/072A9329_headshot.jpg?max_width=510&max_height=600,YES
Jada,Edwards,6494c8b1e689be73b73cbeb7,,,,NOT FOUND
Jonathan,Beard,6494c92ae689be73b73cc313,,,,NOT FOUND
Ava,Rajala,6494c8f8e689be73b73cc141,Liberty University,Women's Lacrosse,,NO
Ashanti,Harvey,6494c8aee689be73b73cbe9c,,,,NOT FOUND
Mason,Ellis,6494c928e689be73b73cc301,Salisbury University,Men's Golf,https://suseagulls.com/images/2025/8/29/MasonEllis_4895-S.jpg?width=300,YES
Taylor,Jenkins,6494c90ee689be73b73cc20d,Niagara University,Women's Volleyball,https://purpleeagles.com/images/2025/8/21/Headshot_Template_0010_JP200071_JPbsr.jpg?width=300,YES
Jordan,Booth,6494c927e689be73b73cc2f8,Saint Mary-of-the-Woods College,Men's Golf,https://smwcathletics.com/images/2025/8/21/Headshots_DSC00738_3fdou.jpg?width=300,YES
Kimberly,Navarrete,6494c969e689be73b73cc549,,,,NOT FOUND
Melina,Schrader,6494c949e689be73b73cc426,University of Dayton,Women's Volleyball,https://daytonflyers.com/images/2025/8/14/4_Melina_Schrader_qhTHA.JPG?width=300,YES
Ty,Beck,6494c93fe689be73b73cc3cc,The Master's University,Baseball,https://gomustangs.com/images/2025/1/29/Ty_Beck.jpg?width=300,YES
Roderick,Mccoy jr,6494c8bde689be73b73cbf25,,,,NOT FOUND
Fernando,Ferrer,6669dd52d3e0e3dd60aaf947,,,,NOT FOUND
Anthony,McClinton,65e77b6acd871b071dc024ca,,,,NOT FOUND
Clayton,Renfrew,6494c8ece689be73b73cc0d5,,,,NOT FOUND
Malachi,Grier,6494c8fae689be73b73cc155,,,,NOT FOUND
Isabel,Seifert,6494c954e689be73b73cc48b,University of Richmond,Women's Soccer,,NO
Andre,Gonzalez,6494c908e689be73b73cc1d7,Monroe College,Football,,NO
Isaiah,Johnson,6494c92ee689be73b73cc333,,,,NOT FOUND
Landon,Lowe,6494c8b7e689be73b73cbee8,,,,NOT FOUND
Spencer,Freer,6494c8d3e689be73b73cbff0,,,,NOT FOUND
